,A,B,C,D,E
0,Normalized version of table-1,,,,
1,,,,,
2,,,,,
3,Country,Source,Population,Year,Homicides
4,Burundi,SDG,Females,2000,1
5,Burundi,SDG,Females,2001,2
6,Burundi,SDG,Females,2002,2
7,Burundi,SDG,Males,2000,3
8,Burundi,SDG,Males,2001,4
9,Burundi,SDG,Males,2002,6
10,Comoros,GHD Estimate,Females,2000,2
11,Comoros,GHD Estimate,Females,2001,1
12,Comoros,GHD Estimate,Females,2002,
13,Comoros,GHD Estimate,Males,2000,4
14,Comoros,GHD Estimate,Males,2001,-
15,Comoros,GHD Estimate,Males,2002,8
16,Djibouti,GHD Estimate,Females,2000,2
17,Djibouti,GHD Estimate,Females,2001,1
18,Djibouti,GHD Estimate,Females,2002,3
19,Djibouti,GHD Estimate,Males,2000,1
20,Djibouti,GHD Estimate,Males,2001,1
21,Djibouti,GHD Estimate,Males,2002,
