,A,B,C,D,E,F,G,H
0,Indicator Name:,"Intentional homicide victims by sex, counts",,,,,,
1,,Country,,,,,,
2,,Burundi,,Comoros,,Djibouti,,
3,Year,Source,Homicides,Source,Homicides,Source,Homicides,Population
4,2000,SDG,1,GHD Estimate,2,GHD Estimate,2,Females
5,,SDG,3,GHD Estimate,4,GHD Estimate,1,Males
6,2001,SDG,2,GHD Estimate,1,GHD Estimate,1,Females
7,,SDG,4,GHD Estimate,-,GHD Estimate,1,Males
8,2002,SDG,2,GHD Estimate,,GHD Estimate,3,Females
9,,SDG,6,GHD Estimate,8,GHD Estimate,,Males
10,"Population at the end, model should assume a variable number of countries, so a challenge to identify population",,,,,,,
