,A,B,C,D,E,F,G,H
0,Indicator Name:,"Intentional homicide victims by sex, counts",,,,,,
1,,,,,,,,
2,Country,Source,Females,Males,,,,
3,2000,,,,,,,
4,Burundi,SDG,1,3,,,,
5,Comoros,GHD Estimate,2,4,,,,
6,Djibouti,GHD Estimate,2,1,,,,
7,2001,,,,,region,,
8,Burundi,SDG,2,3,,,start,"below cells containing ""Females"", ""Males"""
9,Comoros,GHD Estimate,1,-,,,skip,"below ""Females"", ""Males"" are empty"
10,Djibouti,GHD Estimate,1,1,,,,
11,2002,,,,,,,
12,Burundi,SDG,2,6,,,,
13,Comoros,GHD Estimate,,8,,,,
14,Djibouti,GHD Estimate,3,,,,,
