,A,B,C,D,E,F
0,Indicator Name:,"Intentional homicide victims by sex, counts",,,,
1,,,,,,
2,,,,,,
3,UNODC Name,Source,,2000.0,2001.0,2002.0
4,Burundi,SDG,Females,1.0,2.0,2.0
5,Burundi,SDG,Males,4.0,5.0,6.0
6,Burundi,SDG,Total,5.0,7.0,8.0
7,Comoros,GHD Estimate,Females,2.0,1.0,
8,Comoros,GHD Estimate,Males,4.0,,8.0
9,Comoros,GHD Estimate,Total,6.0,1.0,8.0
10,Djibouti,GHD Estimate,Females,2.0,1.0,3.0
11,Djibouti,GHD Estimate,Males,1.0,1.0,
12,Djibouti,GHD Estimate,Total,3.0,2.0,3.0
13,This file has totals by country,,,,,
14,Highlights by Pedro,,,,,
