,A,B,C,D,E
0,Indicator Name:,,"Intentional homicide victims by sex, counts",,
1,,,,,
2,Year,Country,Source,Population,Homicides
3,,,,,
4,2000,Burundi,SDG,Females,1
5,,,SDG,Males,3
6,,Comoros,GHD Estimate,Females,2
7,,,GHD Estimate,Males,4
8,,Djibouti,GHD Estimate,Females,2
9,,,GHD Estimate,Males,1
10,,,,,
11,2001,Burundi,SDG,Females,2
12,,,SDG,Males,3
13,,Comoros,GHD Estimate,Females,1
14,,,GHD Estimate,Males,-
15,,Djibouti,GHD Estimate,Females,1
16,,,GHD Estimate,Males,1
17,,,,,
18,2002,Burundi,SDG,Females,2
19,,,SDG,Males,6
20,,Comoros,GHD Estimate,Females,
21,,,GHD Estimate,Males,8
22,,Djibouti,GHD Estimate,Females,3
23,,,GHD Estimate,Males,
