row,column,value,context,item,sheet,file
8,1,Kenya,main subject,Q114,00_time,qualifier.xlsx
9,1,Kenya,main subject,Q114,00_time,qualifier.xlsx
10,1,Kenya,main subject,Q114,00_time,qualifier.xlsx
11,1,Tanzania,main subject,Q924,00_time,qualifier.xlsx
12,1,Tanzania,main subject,Q924,00_time,qualifier.xlsx
13,1,Tanzania,main subject,Q924,00_time,qualifier.xlsx
7,3,Production,property,PProduction,00_time,qualifier.xlsx
7,1,Country,property,P17,00_time,qualifier.xlsx
8,1,Kenya,main subject,Q114,01_time,qualifier.xlsx
9,1,Kenya,main subject,Q114,01_time,qualifier.xlsx
10,1,Kenya,main subject,Q114,01_time,qualifier.xlsx
11,1,Tanzania,main subject,Q924,01_time,qualifier.xlsx
12,1,Tanzania,main subject,Q924,01_time,qualifier.xlsx
13,1,Tanzania,main subject,Q924,01_time,qualifier.xlsx
7,4,Production,property,PProduction,01_time,qualifier.xlsx
7,1,Country,property,P17,01_time,qualifier.xlsx
8,1,Kenya,main subject,Q114,02_time,qualifier.xlsx
9,1,Kenya,main subject,Q114,02_time,qualifier.xlsx
10,1,Kenya,main subject,Q114,02_time,qualifier.xlsx
11,1,Tanzania,main subject,Q924,02_time,qualifier.xlsx
12,1,Tanzania,main subject,Q924,02_time,qualifier.xlsx
13,1,Tanzania,main subject,Q924,02_time,qualifier.xlsx
7,5,Production,property,PProduction,02_time,qualifier.xlsx
7,1,Country,property,P17,02_time,qualifier.xlsx
8,1,Kenya,main subject,Q114,03_time_exercise,qualifier.xlsx
9,1,Kenya,main subject,Q114,03_time_exercise,qualifier.xlsx
10,1,Kenya,main subject,Q114,03_time_exercise,qualifier.xlsx
11,1,Tanzania,main subject,Q924,03_time_exercise,qualifier.xlsx
12,1,Tanzania,main subject,Q924,03_time_exercise,qualifier.xlsx
13,1,Tanzania,main subject,Q924,03_time_exercise,qualifier.xlsx
7,3,Production,property,PProduction,03_time_exercise,qualifier.xlsx
7,1,Country,property,P17,03_time_exercise,qualifier.xlsx
8,1,Kenya,main subject,Q114,03_time_solution,qualifier.xlsx
9,1,Kenya,main subject,Q114,03_time_solution,qualifier.xlsx
10,1,Kenya,main subject,Q114,03_time_solution,qualifier.xlsx
11,1,Tanzania,main subject,Q924,03_time_solution,qualifier.xlsx
12,1,Tanzania,main subject,Q924,03_time_solution,qualifier.xlsx
13,1,Tanzania,main subject,Q924,03_time_solution,qualifier.xlsx
7,3,Production,property,PProduction,03_time_solution,qualifier.xlsx
7,1,Country,property,P17,03_time_solution,qualifier.xlsx
8,1,Kenya,main subject,Q114,10_qualifier,qualifier.xlsx
