node1	label	node2	id
Candidate	label	Candidate	Candidate-label
Candidate	data_type	String	Candidate-data_type
Party/alliance	label	Party/alliance	Party/alliance-label
Party/alliance	data_type	String	Party/alliance-data_type
First round	label	First round	First round-label
First round	data_type	String	First round-data_type
Second round	label	Second round	Second round-label
Second round	data_type	String	Second round-data_type
Votes	label	Votes	Votes-label
Votes	data_type	String	Votes-data_type
%	label	%	%-label
%	data_type	String	%-data_type
Iván Duque Márquez	label	Iván Duque Márquez	Iván Duque Márquez-label
Iván Duque Márquez	data_type	String	Iván Duque Márquez-data_type
Grand Alliance for Colombia	label	Grand Alliance for Colombia	Grand Alliance for Colombia-label
Grand Alliance for Colombia	data_type	String	Grand Alliance for Colombia-data_type
Gustavo Petro	label	Gustavo Petro	Gustavo Petro-label
Gustavo Petro	data_type	String	Gustavo Petro-data_type
List of Decency	label	List of Decency	List of Decency-label
List of Decency	data_type	String	List of Decency-data_type
Sergio Fajardo	label	Sergio Fajardo	Sergio Fajardo-label
Sergio Fajardo	data_type	String	Sergio Fajardo-data_type
Colombia Coalition	label	Colombia Coalition	Colombia Coalition-label
Colombia Coalition	data_type	String	Colombia Coalition-data_type
Germán Vargas Lleras	label	Germán Vargas Lleras	Germán Vargas Lleras-label
Germán Vargas Lleras	data_type	String	Germán Vargas Lleras-data_type
Mejor Vargas Lleras	label	Mejor Vargas Lleras	Mejor Vargas Lleras-label
Mejor Vargas Lleras	data_type	String	Mejor Vargas Lleras-data_type
Humberto De la Calle	label	Humberto De la Calle	Humberto De la Calle-label
Humberto De la Calle	data_type	String	Humberto De la Calle-data_type
PLC–ASI	label	PLC–ASI	PLC–ASI-label
PLC–ASI	data_type	String	PLC–ASI-data_type
Jorge Antonio Trujillo	label	Jorge Antonio Trujillo	Jorge Antonio Trujillo-label
Jorge Antonio Trujillo	data_type	String	Jorge Antonio Trujillo-data_type
We Are All Colombia	label	We Are All Colombia	We Are All Colombia-label
